Lab_id,pedon,horizon,Mn_mgL,Fe_mgL,Ca_mgL,K_mgL,Na_mgL,Mg_mgL,P_mgL,S_mgL,Ca_mgKg,Ca_cmolKg,Na_mgKg,Na_cmolKg,Mg_mgKg,Mg_cmolKg,K_mgKg,K_cmolKg,P_mgKg,CEC_cmolKg
66,42_2_V2.1,E.3,0.131,5.32,0.3005,0.521,NA,NA,1.1850833333333333,0.5210833333333333,3.005,0.014995009980039919,NA,NA,NA,NA,5.21,0.013324808184143222,11.850833333333332,0.028319818164183143
67,42_2_V2.1,E.4,NA,4.357,0.3025,0.405,NA,NA,1.0690833333333332,0.47908333333333325,3.025,0.015094810379241517,NA,NA,NA,NA,4.050000000000001,0.010358056265984657,10.690833333333332,0.025452866645226176
68,86_3_W3.2,Oa,2.861,0.854,59.8835,26.373,1.726,29.057,2.4690833333333333,6.045083333333333,598.835,2.9881986027944114,17.259999999999998,0.0750761200521966,290.57,2.391522633744856,263.73,0.6745012787723785,24.690833333333334,6.129298635363843
69,86_3_W3.2,A,NA,22.393,8.7175,6.318,0.46,3.17,0.8930833333333332,1.8390833333333332,87.175,0.43500499001996007,4.6000000000000005,0.02000869943453676,31.7,0.2609053497942387,63.18,0.1615856777493606,8.930833333333332,0.8775047169980961
70,86_3_W3.2,Bhs1,NA,32.466,3.9205,5.506,0.35,0.8,0.8250833333333332,2.2020833333333334,39.205,0.19563373253493016,3.5,0.015224010439321445,8,0.06584362139917696,55.06,0.14081841432225065,8.250833333333333,0.4175197786956792
71,86_3_W3.2,Bhs2.1,NA,18.811,2.4535,2.681,0.109,NA,0.5630833333333334,1.6140833333333333,24.535,0.1224301397205589,1.09,0.0047411918225315364,NA,NA,26.810000000000002,0.068567774936061393,5.630833333333333,0.19573910647915183
72,86_3_W3.2,Bhs2.2,NA,40.426,2.9964999999999997,4.152,0.191,NA,1.1020833333333333,2.9740833333333336,29.965,0.14952594810379244,1.9100000000000001,0.008307959982601133,NA,NA,41.52,0.10618925831202046,11.020833333333332,0.26402316639841406
73,86_3_W3.2,Bhs3.1,NA,26.51,1.4085,1.513,NA,NA,0.5690833333333334,1.4050833333333332,14.085,0.07028443113772456,NA,NA,NA,NA,15.129999999999999,0.03869565217391304,5.690833333333334,0.10898008331163761
74,86_3_W3.2,Bhs3.2,NA,29.1,1.4215,1.398,NA,NA,0.6650833333333332,1.4970833333333333,14.215,0.07093313373253493,NA,NA,NA,NA,13.979999999999999,0.03575447570332481,6.650833333333333,0.10668760943585974
76,86_4_W4.1,Oa,2.222,0.881,85.79249999999999,21.956,1.205,30.208,6.800083333333333,9.008083333333333,857.925,4.281062874251497,12.050000000000002,0.05241409308394955,302.08000000000004,2.486255144032922,219.56,0.56153452685422,68.00083333333333,7.381266638222589
77,86_4_W4.1,E,NA,1.083,4.048500000000001,0.928,0.208,NA,0.2790833333333333,0.5710833333333334,40.48500000000001,0.20202095808383236,2.08,0.009047411918225317,NA,NA,9.280000000000001,0.023734015345268544,2.790833333333333,0.23480238534732623
78,86_4_W4.1,Bhs,NA,55.422,9.3155,1.914,0.371,NA,0.36408333333333337,1.8860833333333333,93.155,0.4648453093812376,3.7100000000000004,0.016137451065680732,NA,NA,19.14,0.04895140664961637,3.6408333333333336,0.5299341670965347
79,86_4_W4.1,Bs.1,NA,19.456,2.0685,1.457,0.153,NA,0.4340833333333333,1.5980833333333333,20.685,0.10321856287425149,1.53,0.006655067420617661,NA,NA,14.570000000000002,0.03726342710997443,4.340833333333333,0.1471370574048436
80,86_4_W4.1,Bs.2,NA,8.62,1.7655,0.862,0.106,NA,0.5000833333333334,1.7910833333333331,17.655,0.08809880239520959,1.0600000000000003,0.00461070030448021,NA,NA,8.62,0.022046035805626595,5.000833333333334,0.11475553850531639
81,86_4_W4.1,BC.1,NA,6.604,1.3405,1.262,NA,NA,0.7470833333333333,2.2600833333333337,13.405000000000001,0.06689121756487026,NA,NA,NA,NA,12.620000000000001,0.032276214833759594,7.470833333333334,0.09916743239862985
82,86_4_W4.1,BC.2,NA,1.731,1.0475,0.183,NA,NA,0.46508333333333335,1.5580833333333333,10.475000000000001,0.05227045908183634,NA,NA,NA,NA,1.83,0.004680306905370845,4.650833333333334,0.056950765987207184
83,86_4_W4.1,D.1,NA,4.047,1.0205000000000002,0.768,0.111,NA,0.7660833333333332,1.6040833333333333,10.205000000000002,0.050923153692614784,1.11,0.004828186167899087,NA,NA,7.680000000000001,0.019641943734015347,7.660833333333333,0.07539328359452922
84,86_4_W4.1,D.2,NA,4.296,1.3695000000000002,0.862,0.123,NA,0.7020833333333332,1.2700833333333332,13.695000000000002,0.06833832335329343,1.23,0.005350152240104393,NA,NA,8.62,0.022046035805626595,7.020833333333332,0.09573451139902442
85,86_4_W4.1,D.4,NA,3.909,0.6034999999999999,0.979,0.086,NA,0.6570833333333332,0.8020833333333333,6.034999999999999,0.030114770459081834,0.8599999999999999,0.0037407568508046976,NA,NA,9.790000000000001,0.0250383631713555,6.570833333333333,0.05889389048124203
87,42_4_V4.1,Oa,5.051,1.125,50.0785,17.434,0.533,13.852,10.332083333333333,8.094083333333334,500.7849999999999,2.498927145708582,5.330000000000001,0.023183993040452378,138.52,1.140082304526749,174.34,0.4458823529411765,103.32083333333334,4.10807579621696
88,42_4_V4.1,E,NA,1.124,1.9435,1.358,0.171,NA,0.5310833333333334,0.5690833333333334,19.435,0.09698103792415169,1.7100000000000002,0.007438016528925622,NA,NA,13.580000000000002,0.03473145780051151,5.310833333333333,0.13915051225358882
89,42_4_V4.1,Bhs1,NA,14.509,2.8965,2.505,0.232,NA,0.7940833333333333,1.1190833333333332,28.965,0.14453592814371258,2.3200000000000003,0.01009134406263593,NA,NA,25.05,0.06406649616368286,7.940833333333333,0.21869376837003138
90,42_4_V4.1,Bhs2.1,NA,15.774,2.7755,2.694,0.322,NA,0.7620833333333332,1.2290833333333333,27.755000000000003,0.138498003992016,3.22,0.014006089604175731,NA,NA,26.939999999999998,0.0689002557544757,7.620833333333332,0.22140434935066744
91,42_4_V4.1,Bhs2.2,NA,11.94,2.5145,2.105,0.163,NA,0.5740833333333333,1.0520833333333333,25.145,0.12547405189620758,1.6300000000000001,0.007090039147455417,NA,NA,21.050000000000004,0.053836317135549885,5.740833333333333,0.18640040817921288
92,42_4_V4.1,Bh.1,NA,4.556,1.6205,1.147,NA,NA,0.5470833333333334,1.2620833333333332,16.205000000000002,0.08086327345309383,NA,NA,NA,NA,11.47,0.029335038363171355,5.470833333333333,0.11019831181626519
93,42_4_V4.1,Bh.2,NA,1.787,0.9294999999999999,0.388,NA,NA,0.44608333333333333,1.1280833333333333,9.294999999999998,0.046382235528942106,NA,NA,NA,NA,3.88,0.009923273657289,4.460833333333333,0.056305509186231104
94,42_4_V4.1,BC,NA,0.908,0.6064999999999999,0.245,NA,NA,0.4260833333333333,0.9890833333333333,6.0649999999999995,0.03026447105788423,NA,NA,NA,NA,2.45,0.006265984654731457,4.260833333333333,0.036530455712615685
95,42_4_V4.1,C.2,NA,0.528,0.27549999999999997,0.352,0.128,NA,0.19008333333333333,0.33608333333333335,2.755,0.013747504990019959,1.28,0.005567638103523271,NA,NA,3.5199999999999996,0.009002557544757032,1.9008333333333334,0.02831770063830026
96,42_4_V4.1,D.4,NA,1.852,0.6665,1.696,0.298,NA,0.2890833333333333,0.25208333333333327,6.665,0.03325848303393213,2.98,0.012962157459765117,NA,NA,16.960000000000004,0.0433759590792839,2.890833333333333,0.08959659957298115
98,52_4_X4.1,Oa,NA,1.259,3.2184999999999997,8.793,0.945,0.644,1.9860833333333334,2.3740833333333335,32.184999999999995,0.16060379241516964,9.45,0.0411048281861679,6.44,0.053004115226337446,87.92999999999999,0.22488491048593348,19.860833333333336,0.47959764631360846
99,52_4_X4.1,E,NA,1.767,0.5225,0.702,NA,NA,0.3010833333333333,0.35008333333333336,5.225,0.026072854291417164,NA,NA,NA,NA,7.02,0.017953964194373402,3.0108333333333333,0.04402681848579057
100,52_4_X4.1,Bhs,NA,12.379,1.0775000000000001,1.843,0.249,NA,0.2830833333333333,1.0790833333333332,10.775000000000002,0.053767465069860285,2.4900000000000007,0.010830795998260116,NA,NA,18.43,0.04713554987212276,2.830833333333333,0.11173381094024316
101,52_4_X4.1,Bs1,NA,6.466,1.0835000000000001,1.203,0.213,NA,0.12808333333333333,1.0380833333333332,10.835,0.054066866267465076,2.13,0.009264897781644193,NA,NA,12.030000000000001,0.030767263427109975,1.2808333333333333,0.09409902747621925
102,52_4_X4.1,Bs2.1,NA,1.454,1.3315000000000001,0.889,0.113,NA,0.3030833333333333,1.1710833333333333,13.315000000000003,0.0664421157684631,1.1300000000000001,0.004915180513266638,NA,NA,8.89,0.022736572890025574,3.0308333333333333,0.0940938691717553
103,52_4_X4.1,Bs2.2,NA,1.006,0.9445,0.411,0.105,NA,0.22208333333333335,1.1680833333333331,9.445,0.047130738522954095,1.05,0.004567203131796434,NA,NA,4.11,0.01051150895140665,2.2208333333333337,0.06220945060615718
104,52_4_X4.1,BC.1,NA,0.646,0.5155,NA,NA,NA,0.15908333333333335,1.4910833333333333,5.155,0.025723552894211577,NA,NA,NA,NA,NA,NA,1.5908333333333335,0.025723552894211577
105,52_4_X4.1,BC.2,NA,0.991,0.5185,NA,NA,NA,0.20108333333333334,1.6320833333333333,5.185,0.02587325349301397,NA,NA,NA,NA,NA,NA,2.0108333333333333,0.02587325349301397
106,52_4_X4.1,D.6,NA,0.649,0.4445,NA,NA,NA,0.05008333333333331,0.46208333333333335,4.445,0.022180638722554893,NA,NA,NA,NA,NA,NA,0.5008333333333331,0.022180638722554893
107,52_4_X4.1,D.8,NA,7.732,0.7314999999999999,0.803,0.369,NA,0.3060833333333333,0.5520833333333333,7.3149999999999995,0.03650199600798403,3.69,0.016050456720313182,NA,NA,8.030000000000001,0.020537084398976984,3.060833333333333,0.0730895371272742
109,52_4_X4.1,D.3,NA,0.652,0.38149999999999995,NA,NA,NA,0.07808333333333334,0.35108333333333336,3.8149999999999995,0.019036926147704587,NA,NA,NA,NA,NA,NA,0.7808333333333334,0.019036926147704587
110,52_4_X4.1,D.9,NA,0.534,0.4545,0.182,NA,NA,0.1010833333333333,0.25408333333333327,4.545000000000001,0.02267964071856288,NA,NA,NA,NA,1.8199999999999998,0.004654731457800511,1.010833333333333,0.027334372176363392
111,52_4_X4.1,D.16,NA,0.475,17.733500000000003,1.651,0.808,2.543,0.14208333333333334,0.6190833333333332,177.33500000000004,0.8849051896207587,8.08,0.03514571552849065,25.43,0.20930041152263373,16.51,0.042225063938618926,1.4208333333333334,1.171576380610502
112,86_2_W2.1,E.1,NA,2.452,2.3815,2.056,4.07,NA,0.45108333333333334,0.45808333333333334,23.814999999999998,0.11883732534930139,40.70000000000001,0.17703349282296657,NA,NA,20.560000000000002,0.05258312020460358,4.510833333333334,0.34845393837687155
113,86_2_W2.1,E.2,NA,2.65,3.9155,6.943,6.365,2.208,0.4190833333333333,0.6150833333333332,39.155,0.19538423153692616,63.65000000000001,0.2768595041322315,22.080000000000002,0.1817283950617284,69.42999999999999,0.17757033248081838,4.190833333333333,0.8315424632117044
114,42_3_V3.1,Bhs1,NA,2.089,0.5385,2.086,0.353,NA,0.24008333333333337,0.34708333333333335,5.385,0.026871257485029942,3.53,0.015354501957372771,NA,NA,20.86,0.05335038363171355,2.400833333333334,0.09557614307411627
115,42_3_V3.1,Bhs2.1,2.046,2.7,0.7745,2.094,0.131,NA,2.2290833333333335,2.7060833333333334,7.744999999999999,0.03864770459081836,1.3100000000000003,0.005698129621574599,NA,NA,20.939999999999998,0.05355498721227621,22.290833333333335,0.09790082142466916
116,42_3_V3.1,Bhs2.2,1.845,1.967,0.9674999999999999,1.55,0.191,NA,2.3490833333333336,3.1590833333333337,9.674999999999999,0.048278443113772454,1.9100000000000001,0.008307959982601133,NA,NA,15.5,0.03964194373401535,23.490833333333335,0.09622834683038893
118,42_3_V3.1,Bhs3.1,0.903,2.143,0.8045,0.939,0.16,NA,2.1300833333333333,3.2130833333333335,8.045,0.04014471057884232,1.6,0.0069595476294040896,NA,NA,9.389999999999999,0.024015345268542196,21.300833333333333,0.07111960347678861
119,42_3_V3.1,Bhs3.2,0.365,1.523,0.6905,0.515,0.182,NA,1.6800833333333334,2.1940833333333334,6.905,0.0344560878243513,1.8199999999999998,0.00791648542844715,NA,NA,5.15,0.013171355498721227,16.800833333333333,0.05554392875151967
120,42_3_V3.1,Bhs3.3,NA,1.62,0.5635,0.207,NA,NA,1.7530833333333333,1.4680833333333332,5.635000000000001,0.0281187624750499,NA,NA,NA,NA,2.07,0.005294117647058822,17.530833333333337,0.033412880122108725
121,42_3_V3.1,BC.1,NA,1.351,0.5045,0.133,NA,NA,1.4820833333333332,1.0960833333333333,5.045,0.025174650698602797,NA,NA,NA,NA,1.33,0.00340153452685422,14.820833333333333,0.028576185225457018
122,42_3_V3.1,BC.2,NA,0.987,0.4764999999999999,NA,NA,NA,1.1640833333333334,1.0030833333333333,4.765,0.023777445109780436,NA,NA,NA,NA,NA,NA,11.640833333333333,0.023777445109780436
123,42_3_V3.1,BC.3,NA,0.707,0.3175,NA,NA,NA,0.8130833333333334,0.5680833333333333,3.175,0.015843313373253492,NA,NA,NA,NA,NA,NA,8.130833333333333,0.015843313373253492
124,42_3_V3.1,D.2,NA,0.796,0.3115,0.891,NA,NA,0.13008333333333333,0.5030833333333333,3.115,0.015543912175648706,NA,NA,NA,NA,8.91,0.02278772378516624,1.3008333333333333,0.038331635960814944
125,42_3_V3.1,D.10,0.238,1.873,0.9245,5.148,0.711,NA,0.3860833333333333,0.7780833333333332,9.245,0.04613273453093812,7.11,0.030926489778164423,NA,NA,51.48,0.13166240409207158,3.860833333333333,0.20872162840117414
126,86_2_W2.2,Oa,1.117,0.141,54.7485,29.765,1.946,31.618,2.8620833333333335,6.042083333333333,547.485,2.7319610778443115,19.46,0.08464549804262725,316.18,2.602304526748971,297.65,0.7612531969309462,28.620833333333337,6.180164299566856
127,86_2_W2.2,E.1,NA,0.245,0.49749999999999994,NA,NA,NA,0.5120833333333332,0.25108333333333327,4.975,0.024825349301397202,NA,NA,NA,NA,NA,NA,5.120833333333333,0.024825349301397202
129,86_2_W2.2,E.2,NA,0.58,0.6044999999999999,NA,NA,NA,0.46508333333333335,0.22208333333333335,6.044999999999999,0.03016467065868263,NA,NA,NA,NA,NA,NA,4.650833333333334,0.03016467065868263
130,86_4_W4.1,Bs.3,NA,1.433,1.6185,1.667,0.311,NA,0.23908333333333337,1.4190833333333333,16.185000000000002,0.08076347305389223,3.11,0.013527620704654197,NA,NA,16.67,0.04263427109974425,2.3908333333333336,0.13692536485829068
131,52_4_PFM,Oa,0.527,5.27,4.8505,22.893,3.284,7.496,4.253083333333333,7.817083333333333,48.50500000000001,0.24204091816367274,32.839999999999996,0.14284471509351893,74.96000000000001,0.6169547325102881,228.93000000000004,0.5854987212276216,42.530833333333334,1.5873390869951014
132,99,NA,5.335,6.248,1.0565,4.767,0.244,NA,2.6850833333333335,2.4460833333333336,10.565,0.05271956087824351,2.44,0.010613310134841236,NA,NA,47.67,0.12191815856777492,26.850833333333334,0.18525102958085968
