pedon.x,orig_horizon,subdivision,horizon.x,top cm,base cm,thick,major_color,hue,value,chroma,minor_color,depletion,concentration,texture_modifier,texture_base,structure,consistence,boundary,frags,roots,sample collected,elemental,name,type,CN_id,pedon.y,horizon.y,N_pct,C_pct,CNRatio,CN_type,om_pct,om,bd
42_2_PFM,Oa,NA,Oa,6,8,2,7.5YR3/1,7.5YR,3,1,0,NA,NA,NA,NA,2mgr,NA,cs,0,m,Y,NA,42_2_PFM_Oa,sample,42.2_Oa,42_2_PFM,Oa,1.302304,26.43682,20.30004,Min.Soil,45.57707768,0.4557707768,0.22314587093394037
42_2_PFM,E1,NA,E1,8,32,24,5YR5/1,5YR,5,1,5YR4/2,NA,NA,NA,sl,2msbk,fr,cs,2,c,Y,Y,42_2_PFM_E1,sample,42.2_E1,42_2_PFM,E1,0.985384,5.499409,5.580979,Min.Soil,9.480981116,0.09480981116000001,0.6764016472189835
42_2_PFM,E2,NA,E2,32,47,15,7.5YR4/2,7.5YR,4,2,7.5YR3/2,NA,NA,NA,ls,2msbk,fr,NA,15,f,Y,Y,42_2_PFM_E2,sample,42.2_E2,42_2_PFM,E2,0.029635,0.644979,21.76427,Min.Soil,1.111943796,0.01111943796,1.278507993417372
42_2_V2.1,Oa,NA,Oa,6,8,2,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,as,NA,NA,Y,Y,42_2_V2.1_Oa,sample,V2.1_Oa,42_2_V2.1,Oa,0.439073,10.15645,23.13158,Min.Soil,17.5097198,0.17509719799999998,0.46590708193226676
42_2_V2.1,E,1,E.1,8,14,6,7.5YR6/1,7.5YR,6,1,0,NA,NA,NA,sl,2msbk,fr,as,10,f,Y,Y,42_2_V2.1_E.1,sample,V2.1_E1,42_2_V2.1,E.1,0.077011,1.150074,14.93396,Min.Soil,1.982727576,0.01982727576,1.170130826196113
42_2_V2.1,E,2,E.2,14,20,6,7.5YR6/1,7.5YR,6,1,0,NA,NA,NA,sl,2msbk,fr,as,10,f,Y,Y,42_2_V2.1_E.2,sample,V2.1_E2,42_2_V2.1,E.2,0.076609,0.93580700000000006,12.2154,Min.Soil,1.613331268,0.01613331268,1.2137779687980057
42_2_V2.1,E,3,E.3,20,28,8,7.5YR6/1,7.5YR,6,1,0,NA,NA,NA,sl,2msbk,fr,as,10,f,Y,Y,42_2_V2.1_E.3,sample,V2.1_E3,42_2_V2.1,E.3,0.046856,0.690337,14.73308,Min.Soil,1.190140988,0.01190140988,1.2679619290978044
42_2_V2.1,E,4,E.4,28,32,4,7.5YR6/1,7.5YR,6,1,0,NA,NA,NA,sl,2msbk,fr,as,10,f,Y,Y,42_2_V2.1_E.4,sample,V2.1_E4,42_2_V2.1,E.4,0.042377,0.504456,11.904,Min.Soil,0.869682144,0.00869682144,1.3123237178709302
42_3_PFM,Oa,NA,Oa,5.5,8.5,3,5YR2.5/1,5YR,2.5,1,0,NA,NA,NA,NA,1mgr,vfr,as,1,f,Y,Y,42_3_PFM_Oa,sample,42.3_Oa,42_3_PFM,Oa,1.001189,16.8993,16.87924,Min.Soil,29.1343932,0.29134393200000003,0.32118726942319
42_3_PFM,Bhs1,NA,Bhs1,8.5,30.5,22,7.5YR2.5/2,7.5YR,2.5,2,0,NA,NA,NA,sl,2msbk,fr,cs,2,0,Y,Y,42_3_PFM_Bhs1,sample,42.3_Bhs1,42_3_PFM,Bhs1,0.289994,5.690605,19.623169999999998,Min.Soil,9.810603019999999,0.09810603019999999,0.6640838448591544
42_3_PFM,Bhs2,NA,Bhs2,30.5,41.5,11,10YR2/2,10YR,2,2,0,NA,NA,NA,sl,2msbk,fr,as,2,0,Y,Y,42_3_PFM_Bhs2,sample,42.3_Bhs2,42_3_PFM,Bhs2,0.221183,4.558861,20.61129,Min.Soil,7.859476364000001,0.07859476364000001,0.7443174225727702
42_3_PFM,Bhs3,NA,Bhs3,41.5,60,18.5,7.5YR3/3,7.5YR,3,3,7.5YR2.5/2,NA,NA,NA,sl,2msbk,fr,cs,2,0,Y,Y,42_3_PFM_Bhs3,sample,42.3_Bhs3,42_3_PFM,Bhs3,0.234412,5.076976,21.65831,Min.Soil,8.752706624,0.08752706624,0.7053062554344165
42_3_PFM,BC,NA,BC,60,71,11,10YR3/4,10YR,3,4,0,NA,NA,NA,sl,2msbk,fr,NA,5,0,Y,NA,42_3_PFM_BC,sample,42.3_BC,42_3_PFM,BC,0.26178,6.088694,23.25886,Min.Soil,10.496908456,0.10496908456,0.6398238677411363
42_3_V3.1,Oa,NA,Oa,9,13,4,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,c,Y,Y,42_3_V3.1_Oa,sample,V3.1_Oa,42_3_V3.1,Oa,1.347829,24.68433,18.31415,Min.Soil,42.55578492,0.4255578492,0.23640541791773473
42_3_V3.1,Bhs1,NA,Bhs1,13,21,8,5YR3/2,5YR,3,2,0,NA,NA,NA,sl,1mgr,fr,cs,2,c,Y,Y,42_3_V3.1_Bhs1,sample,V3.1_Bhs1,42_3_V3.1,Bhs1,0.311452,4.876843,15.6584,Min.Soil,8.407677332,0.08407677332,0.7198804196891284
42_3_V3.1,Bhs2,1,Bhs2.1,21,28,7,7.5YR2.5/3,7.5YR,2.5,3,0,NA,NA,NA,sl,2msbk,fr,gw,5,c,Y,Y,42_3_V3.1_Bhs2.1,sample,V3.1_Bhs2.1,42_3_V3.1,Bhs2.1,0.22659,3.827281,16.89078,Min.Soil,6.598232444,0.06598232444,0.8073726190570751
42_3_V3.1,Bhs2,2,Bhs2.2,28,35,7,7.5YR2.5/3,7.5YR,2.5,3,0,NA,NA,NA,sl,2msbk,fr,gw,5,c,Y,Y,42_3_V3.1_Bhs2.2,sample,V3.1_Bhs2.2,42_3_V3.1,Bhs2.2,0.26269,5.021509,19.11574,Min.Soil,8.657081516,0.08657081516,0.7092860503136547
42_3_V3.1,Bhs3,1,Bhs3.1,35,45,10,7.5YR3/3,7.5YR,3,3,0,NA,NA,NA,ls,2mang,fr,gs,10,f,Y,Y,42_3_V3.1_Bhs3.1,sample,V3.1_Bhs3.1,42_3_V3.1,Bhs3.1,0.212924,4.283117,20.11569,Min.Soil,7.384093708,0.07384093708,0.7668923048140851
42_3_V3.1,Bhs3,2,Bhs3.2,45,55,10,7.5YR3/3,7.5YR,3,3,0,NA,NA,NA,ls,2mang,fr,gs,10,f,Y,Y,42_3_V3.1_Bhs3.2,sample,V3.1_Bhs3.2,42_3_V3.1,Bhs3.2,0.159437,3.369998,21.13685,Min.Soil,5.8098765519999995,0.05809876552,0.8525153839742443
42_3_V3.1,Bhs3,3,Bhs3.3,55,62,7,7.5YR3/3,7.5YR,3,3,0,NA,NA,NA,ls,2mang,fr,gs,10,f,Y,Y,42_3_V3.1_Bhs3.3,sample,V3.1_Bhs3.3,42_3_V3.1,Bhs3.3,0.124958,2.666544,21.33958,Min.Soil,4.597121856,0.04597121856,0.9327435855072732
42_3_V3.1,BC,1,BC.1,62,67,5,10YR4/4,10YR,4,4,7.5Y2.5/3,NA,NA,gr,ls,1mang,vfr,cs,25,f,Y,Y,42_3_V3.1_BC.1,sample,V3.1_BC1,42_3_V3.1,BC.1,0.090452,1.990993,22.0115,Min.Soil,3.432471932,0.03432471932,1.0254152683448854
42_3_V3.1,BC,2,BC.2,67,77,10,10YR4/4,10YR,4,4,7.5Y2.5/3,NA,NA,gr,ls,1mang,vfr,cs,25,f,Y,Y,42_3_V3.1_BC.2,sample,V3.1_BC2,42_3_V3.1,BC.2,0.08533,1.864112,21.84583,Min.Soil,3.213729088,0.03213729088,1.0449138817601524
42_3_V3.1,BC,3,BC.3,77,82,5,10YR4/4,10YR,4,4,7.5Y2.5/3,NA,NA,gr,ls,1mang,vfr,cs,25,f,Y,Y,42_3_V3.1_BC.3,sample,V3.1_D1,42_3_V3.1,BC.3,0.046388,1.128631,24.33004,Min.Soil,1.945759844,0.019457598439999998,1.1743569961994398
42_3_V3.1,D,2,D.2,108,123,15,2.5Y5/3,2.5Y,5,3,0,NA,NA,NA,ls,NA,NA,NA,0,0,Y,Y,42_3_V3.1_D.2,sample,V3.1_D5,42_3_V3.1,D.2,0.012708,0.401695,31.61026,Min.Soil,0.69252218,0.0069252218,1.3382070065901015
42_3_V3.1,D,10,D.10,270,275,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,42_3_V3.1_D.10,sample,V3.1_D11,42_3_V3.1,D.10,0.00957,0.211023,22.04999,Min.Soil,0.363803652,0.00363803652,1.3890407467444659
42_4_PFM,E,NA,E,9,11.5,2.5,10YR4/2,10YR,4,2,0,NA,NA,NA,sl,2msbk,fr,aw,2,f,Y,Y,42_4_PFM_E,sample,42.4_E,42_4_PFM,E,0.147391,2.355376,15.98049,Min.Soil,4.0606682240000005,0.040606682240000004,0.9732582406569376
42_4_PFM,Bhs1,NA,Bhs1,11.5,16,4.5,5YR2.5/2,5YR,2.5,2,0,NA,NA,NA,sl,2msbk,fr,cs,2,f,Y,Y,42_4_PFM_Bhs1,sample,42.4_Bhs1,42_4_PFM,Bhs1,0.391606,6.590477,16.82936,Min.Soil,11.361982348,0.11361982347999999,0.6116586966988886
42_4_PFM,Bhs2,NA,Bhs2,16,36,20,7.5YR3/3,7.5YR,3,3,0,NA,NA,NA,sl,2msbk,fr,gs,10,0,Y,Y,42_4_PFM_Bhs2,sample,42.4_Bhs2,42_4_PFM,Bhs2,0.298212,5.515278,18.49449,Min.Soil,9.508339272,0.09508339272,0.6753619242306171
42_4_PFM,Bh,NA,Bh,36,45,9,10YR3/3,10YR,3,3,0,NA,NA,NA,sl,2msbk,fr,as,10,0,Y,Y,42_4_PFM_Bh,sample,42.4_Bh,42_4_PFM,Bh,0.152143,3.154836,20.73594,Min.Soil,5.438937264,0.054389372639999996,0.8755497074819667
42_4_PFM,BC,NA,BC,45,50.5,5.5,10YR4/4,10YR,4,4,0,NA,NA,NA,sl,2msbk,fr,NA,10,0,Y,Y,42_4_PFM_BC,sample,42.4_BC,42_4_PFM,BC,0.149297,3.138989,21.02515,Min.Soil,5.411617036,0.05411617036,0.8772955322088839
42_4_V4.1,Oa,NA,Oa,8,16,8,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,as,0,c,Y,Y,42_4_V4.1_Oa,sample,V4.1_Oa,42_4_V4.1,Oa,0.901933,18.91962,20.97674,Min.Soil,32.617424879999994,0.32617424879999996,0.2938398680832651
42_4_V4.1,E,NA,E,16,24,8,7.5YR5/2,7.5YR,5,2,5YR4/1,NA,NA,NA,ls,2msbk,fr,aw,2,f,Y,Y,42_4_V4.1_E,sample,V4.1_E,42_4_V4.1,E,0.070206,1.369657,19.50917,Min.Soil,2.361288668,0.023612886679999997,1.128541902483799
42_4_V4.1,Bhs1,NA,Bhs1,24,32.5,8.5,5YR3/1,5YR,3,1,0,NA,NA,NA,sl,2msbk,fr,cw,2,f,Y,Y,42_4_V4.1_Bhs1,sample,V4.1_Bhs1,42_4_V4.1,Bhs1,0.154016,2.831048,18.38147,Min.Soil,4.880726752,0.04880726752,0.9126584905413273
42_4_V4.1,Bhs2,1,Bhs2.1,32.5,38,5.5,7.5YR3/3,7.5YR,3,3,0,NA,NA,NA,sl,2msbk,fr,cs,2,f,Y,Y,42_4_V4.1_Bhs2.1,sample,V4.1_Bhs2.1,42_4_V4.1,Bhs2.1,0.221101,4.557301,20.61185,Min.Soil,7.856786924,0.07856786923999999,0.7444413992971172
42_4_V4.1,Bhs2,2,Bhs2.2,38,43,5,7.5YR3/3,7.5YR,3,3,0,NA,NA,NA,sl,2msbk,fr,cs,2,f,Y,Y,42_4_V4.1_Bhs2.2,sample,V4.1_Bhs2.2,42_4_V4.1,Bhs2.2,0.215078,4.786913,22.25663,Min.Soil,8.252638012,0.08252638012,0.726627308104504
42_4_V4.1,Bh,1,Bh.1,43,50,7,10YR3/2,10YR,3,2,10YR2/2,NA,NA,NA,sl,2msbk,fr,gs,2,f,Y,Y,42_4_V4.1_Bh.1,sample,V4.1_Bh1,42_4_V4.1,Bh.1,0.188937,4.372786,23.14413,Min.Soil,7.538683063999999,0.07538683063999999,0.7594024131362116
42_4_V4.1,Bh,2,Bh.2,50,56.5,6.5,10YR3/2,10YR,3,2,10YR2/2,NA,NA,NA,sl,2msbk,fr,gs,2,f,Y,Y,42_4_V4.1_Bh.2,sample,V4.1_Bh2,42_4_V4.1,Bh.2,0.168609,3.75469,22.26864,Min.Soil,6.47308556,0.0647308556,0.8142168354397038
42_4_V4.1,BC,NA,BC,56.5,66,9.5,10YR4/3,10YR,4,3,5YR3/2,NA,NA,NA,sl,2msbk,fr,gs,2,0,Y,Y,42_4_V4.1_BC,sample,V4.1_BC,42_4_V4.1,BC,0.088525,2.078194,23.47568,Min.Soil,3.5828064559999997,0.03582806456,1.0124311164613433
42_4_V4.1,C,2,C.2,82,90,8,2.5Y5/3,2.5Y,5,3,0,NA,NA,vgr,ls,1mpl,vfr,NA,40,0,Y,Y,42_4_V4.1_C.2,sample,V4.1_Cd2,42_4_V4.1,C.2,0.012055,0.357995,29.69631,Min.Soil,0.6171833800000001,0.006171833800000001,1.3495261325456622
42_4_V4.1,D,4,D.4,118,126.5,8.5,5Y5/2,5Y,5,2,0,NA,NA,NA,fsl,NA,NA,NA,0,0,Y,Y,42_4_V4.1_D.4,sample,V4.1_D4,42_4_V4.1,D.4,0.008238,0.201354,24.44088,Min.Soil,0.347134296,0.00347134296,1.3917216168776525
42_4_V4.1,D,9,D.9,180,184,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,42_4_V4.1_D.9,sample,V4.1_D9,42_4_V4.1,D.9,0.007916,0.174403,22.03191,Min.Soil,0.300670772,0.0030067077199999997,1.3992490888520777
52_2_PFM,Oa,NA,Oa,8,10,2,5YR2.5/1,5YR,2.5,1,0,NA,NA,NA,NA,1mgr,NA,cb,0,m,Y,Y,52_2_PFM_Oa,sample,52.2_Oa,52_2_PFM,Oa,1.859805,31.2401,16.79751,Min.Soil,53.8579324,0.5385793240000001,0.19341285567690703
52_2_PFM,E,NA,E,10,30,20,5YR4/1,5YR,4,1,0,NA,NA,NA,sl,2msbk,fr,NA,5,c,Y,Y,52_2_PFM_E,sample,52.2_E,52_2_PFM,E,0.15349,2.724032,17.74726,Min.Soil,4.696231168,0.04696231168,0.9256248747795852
52_2_X2.1,Oa,NA,Oa,7,12.5,5.5,5YR2.5/1,5YR,2.5,1,0,NA,NA,NA,NA,1mgr,fr,cs,0,m,Y,Y,52_2_X2.1_Oa,sample,X2.1_Oa,52_2_X2.1,Oa,1.275378,25.06405,19.65226,Min.Soil,43.210422200000004,0.43210422200000004,0.23340038438858351
52_2_X2.1,E1,1,E1.1,12.5,19.5,7,5YR5/2,5YR,5,2,0,NA,NA,NA,sl,2msbk,fr,cs,2,NA,Y,Y,52_2_X2.1_E1.1,sample,X2.1_E1.1,52_2_X2.1,E1.1,0.096032,1.906842,19.85635,Min.Soil,3.2873956079999997,0.032873956079999996,1.0382650022282014
52_2_X2.1,E1,2,E1.2,19.5,26,6.5,5YR5/2,5YR,5,2,0,NA,NA,NA,sl,2msbk,fr,cs,2,NA,Y,Y,52_2_X2.1_E1.2,sample,X2.1_E1.2,52_2_X2.1,E1.2,0.068476,1.090734,15.92866,Min.Soil,1.8804254160000002,0.018804254160000002,1.181901192836135
52_2_X2.1,E2,NA,E2,26,30,4,7.5YR5/1,7.5YR,5,1,0,NA,NA,NA,sl,2msbk,fr,NA,2,NA,Y,Y,52_2_X2.1_E2,sample,X2.1_E2,52_2_X2.1,E2,0.029576,0.443553,14.99702,Min.Soil,0.764685372,0.00764685372,1.327541615757178
52_3_PFM,Oa,NA,Oa,16.5,23,6.5,7.5YR3/1,7.5YR,3,1,0,NA,NA,NA,NA,1mgr,NA,as,0,c,Y,Y,52_3_PFM_Oa,sample,52.3_Oa,52_3_PFM,Oa,1.096479,20.1491,18.37619,Min.Soil,34.7370484,0.347370484,0.27936447946265325
52_3_PFM,Bhs1,NA,Bhs1,23,33,10,7.5YR3/1,7.5YR,3,1,7.5YR2.5/1,NA,NA,gr,sl,2msbk,fr,cw,20,f,Y,Y,52_3_PFM_Bhs1,sample,52.3_Bhs1,52_3_PFM,Bhs1,0.409462,8.367753,20.43599,Min.Soil,14.426006172000001,0.14426006172,0.5291549367687007
52_3_PFM,Bhs2,NA,Bhs2,33,48,15,7.5YR3/2,7.5YR,3,2,0,NA,NA,vgr,sl,1msbk,fr,NA,50,NA,Y,Y,52_3_PFM_Bhs2,sample,52.3_Bhs2,52_3_PFM,Bhs2,0.083263,1.660616,19.94422,Min.Soil,2.862901984,0.028629019840000002,1.0777835081084792
52_3_X3.1,Oa,NA,Oa,4,9,5,10YR2.5/1,10YR,2.5,1,0,NA,NA,NA,NA,1mgr,vfr,cs,0,c,Y,Y,52_3_X3.1_Oa,sample,X3.1_Oa,52_3_X3.1,Oa,0.602179,11.15172,18.51894,Min.Soil,19.225565279999998,0.19225565279999998,0.43685329804973017
52_3_X3.1,E,NA,E,9,15,6,5YR4/1,5YR,4,1,0,NA,NA,NA,ls,2msbk,vfr,as,5,NA,Y,Y,52_3_X3.1_E,sample,X3.1_E,52_3_X3.1,E,0.11844,1.849276,15.61361,Min.Soil,3.1881518239999997,0.03188151824,1.0472423556904469
